,S/N,Date/Day,1st,2nd,3rd,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Starters,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol,Consol
,1,02 Aug 2000 (Wed),0017,4007,7210,7912,1213,9915,8423,1534,1600,2104,2367,3350,5545,5131,5698,6017,8108,9203,8719,5161,0769,1496,2967
,2,05 Aug 2000 (Sat),7342,0427,9349,9094,2331,0784,0253,8981,0523,0819,0835,3336,2070,4842,4624,0902,0218,4160,7885,6840,3803,6407,0781
,3,06 Aug 2000 (Sun),5581,5640,3364,3764,0250,8348,8185,4180,0502,0906,3356,6306,7260,2724,5673,8860,4987,5959,2203,0944,6532,8981,2637
,4,09 Aug 2000 (Wed),3865,2111,5758,8824,2314,5083,2628,8565,0226,5377,7682,8139,7083,0375,2239,4816,8609,5270,9797,9886,4670,9464,9257
,5,12 Aug 2000 (Sat),1392,2407,3944,5267,6288,7211,7906,0955,8904,8048,2410,3183,4525,2145,0191,0790,1236,2477,3098,3445,4959,5766,5259
,6,13 Aug 2000 (Sun),4917,2065,7359,6164,8326,3282,3487,6862,7889,8638,7149,9786,4598,4293,1521,9266,3244,5519,5531,4785,7557,9702,9340
,7,16 Aug 2000 (Wed),8754,6844,2094,3811,4323,5175,5584,6641,7450,9686,0624,8482,0015,9467,0388,1538,2366,3207,3278,4885,8301,8501,5538
,8,19 Aug 2000 (Sat),1467,2749,9969,7683,1923,3770,4604,5991,6418,6537,7114,0714,9826,4300,0503,2534,3522,3695,4923,5020,5300,8666,7477
,9,20 Aug 2000 (Sun),7831,2602,2522,2739,1495,5357,8186,6766,5243,1775,5406,7738,7223,6930,7560,8567,1291,3353,4133,1847,1397,7687,0013
,10,23 Aug 2000 (Wed),0404,3017,1252,4353,8570,8402,1577,5544,8140,5856,2395,8412,8643,9693,8598,3890,2971,0327,2204,2336,6228,0166,9740
,11,26 Aug 2000 (Sat),3199,4735,9354,6826,0404,8738,9643,0467,1784,3878,4318,6054,6648,8729,1718,0409,9547,0449,1050,5409,5617,8217,9221
,12,27 Aug 2000 (Sun),6434,6270,5996,6091,7764,5700,0427,0930,1091,3372,4452,4673,6794,4210,5624,5122,9761,0988,0188,0336,1032,1421,2789
,13,30 Aug 2000 (Wed),7375,8555,6732,9433,0408,0610,4174,5003,5467,8015,8052,4840,8504,3852,4502,5533,6824,8433,3704,0193,2281,3295,3688
,14,02 Sep 2000 (Sat),2111,4452,9181,9884,1417,9021,0507,2707,4330,4418,5420,6275,8842,2814,2888,3704,7891,8397,5836,9428,1267,2338,2814
,15,03 Sep 2000 (Sun),6861,3451,7572,7866,4183,1665,6556,8395,0813,0433,4962,4817,9330,0061,6128,1607,0917,6072,7939,1845,9868,6580,9459
,16,06 Sep 2000 (Wed),3877,2605,7651,4744,8549,0455,5608,6165,6395,6451,7127,8163,8964,0552,0708,1125,1429,2131,2533,2695,4487,4875,1297
,17,09 Sep 2000 (Sat),1595,6072,5271,5810,7841,2514,9260,8216,1102,2675,3563,4197,4623,2924,0543,1077,1237,2306,4383,5225,6514,9625,9714
,18,10 Sep 2000 (Sun),2390,5897,9198,0447,1443,7032,8605,7392,0749,0229,1988,3567,9067,1637,2764,2195,5282,2732,5006,7289,6535,6214,3076
,19,13 Sep 2000 (Wed),1027,8364,6653,1761,2248,2579,2718,3874,0102,7580,5379,1378,1493,1563,0672,1438,1521,1747,4206,4768,6772,9550,9054
,20,16 Sep 2000 (Sat),1449,5428,8654,5518,6141,6381,9663,5897,9261,8196,0058,2518,2677,4251,1705,2283,3217,4041,4284,5333,6090,8642,1299
,21,17 Sep 2000 (Sun),4176,4874,3405,1363,2803,3285,4407,4600,7373,9715,0908,8450,0800,9878,0993,1555,4145,6044,6924,7837,8792,8862,8175
,22,20 Sep 2000 (Wed),0288,0150,3092,9832,9151,1149,1411,1435,2298,6135,6486,8258,0264,3104,0391,0699,1093,2158,5527,5979,6986,9172,7853
,23,23 Sep 2000 (Sat),3385,0791,5111,4600,9726,0012,5311,5410,5779,6899,7053,7763,9852,3957,0162,1847,3635,5010,5165,7166,8008,9534,8793
,24,24 Sep 2000 (Sun),4526,5672,6689,5323,0525,9849,5538,0275,1675,1764,2099,3273,3474,9482,6485,0099,2391,3945,5488,6531,8633,9179,9285
,25,27 Sep 2000 (Wed),1748,6975,0831,8195,1164,8219,8634,3974,4673,5634,5654,6452,6804,5507,4532,1061,0147,7662,0522,0956,1359,3166,4464
,26,30 Sep 2000 (Sat),4879,1221,8401,9040,9295,8528,1777,2894,3313,4364,5867,8448,9211,4040,6881,8323,7261,9124,3064,0698,2066,3651,3825
,27,01 Oct 2000 (Sun),7780,3638,7697,0482,4325,7420,1828,4038,4419,4886,3403,9833,8447,8885,1646,3925,7261,2178,9279,0446,2656,3198,2251
,28,04 Oct 2000 (Wed),9011,9782,8444,9752,0191,9304,0007,3172,5150,6036,7495,8038,9210,4456,4737,7648,7810,8675,9466,7983,9867,0136,4400
,29,07 Oct 2000 (Sat),3966,8152,2574,8133,0683,9220,9204,1404,1484,2655,2983,6601,7754,0405,1109,2389,2697,5883,6464,7872,9944,8007,4148
,30,08 Oct 2000 (Sun),7808,5947,7152,8204,8453,2821,8209,0843,2878,4816,5740,6087,7112,1654,0276,0517,1497,1826,6012,6369,7585,8289,8399
