Date,1st ,2nd ,3rd 
01 Jan 2022 (Sat),4366,1333,0155
02 Jan 2022 (Sun),5006,8406,6724
05 Jan 2022 (Wed),6934,1732,9801
08 Jan 2022 (Sat),0826,5065,6393
09 Jan 2022 (Sun),1485,6709,4452
12 Jan 2022 (Wed),0175,8555,5426
15 Jan 2022 (Sat),3978,0723,1823
16 Jan 2022 (Sun),3648,4880,5819
19 Jan 2022 (Wed),6498,6751,4607
22 Jan 2022 (Sat),8715,4983,5581
23 Jan 2022 (Sun),8829,2953,7026
26 Jan 2022 (Wed),3761,3158,9460
29 Jan 2022 (Sat),8475,8305,1147
30 Jan 2022 (Sun),1644,8874,8158
02 Feb 2022 (Wed),1403,6998,4609
05 Feb 2022 (Sat),4048,2213,1026
06 Feb 2022 (Sun),5082,8827,8368
09 Feb 2022 (Wed),6071,1571,6309
12 Feb 2022 (Sat),9214,8435,1044
13 Feb 2022 (Sun),8465,1999,4157
16 Feb 2022 (Wed),5875,0021,9748
19 Feb 2022 (Sat),9410,3174,4478
20 Feb 2022 (Sun),4078,9310,0695
23 Feb 2022 (Wed),6119,3186,9831
26 Feb 2022 (Sat),7960,0326,7913
27 Feb 2022 (Sun),8078,1003,1759
02 Mar 2022 (Wed),7585,6841,9842
05 Mar 2022 (Sat),4587,8282,0769
06 Mar 2022 (Sun),7668,3812,6642
09 Mar 2022 (Wed),5554,0421,6423
12 Mar 2022 (Sat),5999,2346,9246
13 Mar 2022 (Sun),0380,2443,7730
16 Mar 2022 (Wed),8360,9249,3995
19 Mar 2022 (Sat),4863,2313,7312
20 Mar 2022 (Sun),3181,6892,5050
23 Mar 2022 (Wed),6766,4131,9172
26 Mar 2022 (Sat),0660,6603,3934
27 Mar 2022 (Sun),1099,4975,1478
30 Mar 2022 (Wed),8730,7957,1443
02 Apr 2022 (Sat),1041,3303,6741
03 Apr 2022 (Sun),9128,0170,0155
06 Apr 2022 (Wed),3817,5620,8595
09 Apr 2022 (Sat),0905,3308,0705
10 Apr 2022 (Sun),7917,6766,8232
13 Apr 2022 (Wed),9749,1679,4576
16 Apr 2022 (Sat),2493,1470,0512
17 Apr 2022 (Sun),9709,5837,0866
20 Apr 2022 (Wed),2126,7539,6015
23 Apr 2022 (Sat),4925,0211,6541
24 Apr 2022 (Sun),3990,4175,8590
27 Apr 2022 (Wed),8647,6786,4421
30 Apr 2022 (Sat),2958,5121,6598
01 May 2022 (Sun),5802,0058,4478
04 May 2022 (Wed),9284,3198,6624
07 May 2022 (Sat),0139,2586,0210
08 May 2022 (Sun),1670,3208,1876
11 May 2022 (Wed),1629,1125,9645
14 May 2022 (Sat),1353,9842,8058
15 May 2022 (Sun),9085,2946,8637
18 May 2022 (Wed),7676,1780,1722
21 May 2022 (Sat),6969,8298,9389
22 May 2022 (Sun),5754,5523,3715
25 May 2022 (Wed),9759,0644,2812
28 May 2022 (Sat),1215,3174,0723
29 May 2022 (Sun),0384,5821,3451
01 Jun 2022 (Wed),4316,2982,6534
04 Jun 2022 (Sat),2587,9531,3716
05 Jun 2022 (Sun),1596,3216,7932
08 Jun 2022 (Wed),0154,0083,9361
11 Jun 2022 (Sat),6053,0071,7887
12 Jun 2022 (Sun),2611,0403,2685
15 Jun 2022 (Wed),5241,1589,4746
18 Jun 2022 (Sat),6990,2485,0507
19 Jun 2022 (Sun),7340,3768,0813
22 Jun 2022 (Wed),2944,4966,6897
25 Jun 2022 (Sat),1342,4994,2721
26 Jun 2022 (Sun),9879,8092,3567
29 Jun 2022 (Wed),1614,6467,9112
02 Jul 2022 (Sat),7844,5719,5846
03 Jul 2022 (Sun),0501,2774,9456
06 Jul 2022 (Wed),7287,6208,7862
09 Jul 2022 (Sat),1702,4776,0837
10 Jul 2022 (Sun),7561,9811,3128
13 Jul 2022 (Wed),2723,2316,4064
16 Jul 2022 (Sat),7041,6435,0222
17 Jul 2022 (Sun),9303,4827,5345
20 Jul 2022 (Wed),6258,7171,9856
23 Jul 2022 (Sat),9614,6073,0156
24 Jul 2022 (Sun),2536,9197,3389
27 Jul 2022 (Wed),6715,0431,3103
30 Jul 2022 (Sat),4987,6667,1858
31 Jul 2022 (Sun),8423,8026,6800
03 Aug 2022 (Wed),2362,4526,3766
06 Aug 2022 (Sat),3784,4709,2376
07 Aug 2022 (Sun),9961,8597,8826
10 Aug 2022 (Wed),6844,7023,3061
13 Aug 2022 (Sat),6206,7820,4469
14 Aug 2022 (Sun),9574,2184,5434
17 Aug 2022 (Wed),6262,7802,1811
20 Aug 2022 (Sat),3282,8946,3999
21 Aug 2022 (Sun),1505,6969,0016
24 Aug 2022 (Wed),7844,4480,0444
27 Aug 2022 (Sat),0749,6630,1069
28 Aug 2022 (Sun),4802,8567,3449
31 Aug 2022 (Wed),4303,6963,4888
03 Sep 2022 (Sat),4526,5998,4029
04 Sep 2022 (Sun),9682,4973,7974
07 Sep 2022 (Wed),6046,4054,5733
10 Sep 2022 (Sat),4311,8853,1100
11 Sep 2022 (Sun),1590,6001,0031
14 Sep 2022 (Wed),6668,2061,8738
17 Sep 2022 (Sat),9324,0207,0589
18 Sep 2022 (Sun),1859,1605,9161
21 Sep 2022 (Wed),5614,1093,3973
24 Sep 2022 (Sat),0892,3807,2867
25 Sep 2022 (Sun),0995,8948,0245
28 Sep 2022 (Wed),5053,5743,4338
01 Oct 2022 (Sat),1563,2299,7136
02 Oct 2022 (Sun),1559,9943,1337
05 Oct 2022 (Wed),1921,9748,0429
08 Oct 2022 (Sat),1431,3397,5092
09 Oct 2022 (Sun),9546,9124,3933
12 Oct 2022 (Wed),8045,6723,2425
15 Oct 2022 (Sat),3908,8015,1008
16 Oct 2022 (Sun),0511,5108,6718
19 Oct 2022 (Wed),8680,4372,5366
22 Oct 2022 (Sat),8914,8719,7249
23 Oct 2022 (Sun),8531,7519,7369
26 Oct 2022 (Wed),8770,2260,0106
29 Oct 2022 (Sat),6253,3674,8069
30 Oct 2022 (Sun),5595,7397,7028
02 Nov 2022 (Wed),5806,8049,9809
05 Nov 2022 (Sat),0776,8249,5115
06 Nov 2022 (Sun),8095,4334,1032
09 Nov 2022 (Wed),6468,4130,1637
12 Nov 2022 (Sat),1942,0688,4309
13 Nov 2022 (Sun),4297,3029,7636
16 Nov 2022 (Wed),8834,7513,0214
19 Nov 2022 (Sat),9599,4383,2819
20 Nov 2022 (Sun),9300,5335,8784
23 Nov 2022 (Wed),8979,2439,8967
26 Nov 2022 (Sat),6993,0384,6391
27 Nov 2022 (Sun),3165,0495,3560
30 Nov 2022 (Wed),9978,6044,5797
03 Dec 2022 (Sat),5165,1811,6236
04 Dec 2022 (Sun),4640,1015,4016
07 Dec 2022 (Wed),2575,9541,0874
10 Dec 2022 (Sat),4385,6052,6766
11 Dec 2022 (Sun),2322,2652,9596
14 Dec 2022 (Wed),2823,4689,7799
17 Dec 2022 (Sat),5233,8675,6455
18 Dec 2022 (Sun),5139,3115,4040
21 Dec 2022 (Wed),8840,4651,8632
24 Dec 2022 (Sat),2767,3454,0696
25 Dec 2022 (Sun),9120,6135,1599
28 Dec 2022 (Wed),3395,5553,0350
31 Dec 2022 (Sat),7904,4684,4246
01 Jan 2023 (Sun),4854,5085,8294
04 Jan 2023 (Wed),2452,4082,6585
07 Jan 2023 (Sat),6038,2923,0011
08 Jan 2023 (Sun),7086,4592,6357
11 Jan 2023 (Wed),8221,0865,3794
14 Jan 2023 (Sat),3442,4632,3658
15 Jan 2023 (Sun),2877,4442,6122
18 Jan 2023 (Wed),8018,1781,5807
21 Jan 2023 (Sat),8315,6715,9316
22 Jan 2023 (Sun),0300,5812,3374
25 Jan 2023 (Wed),6582,0887,6175
28 Jan 2023 (Sat),0693,4971,7344
29 Jan 2023 (Sun),8948,9172,5487
01 Feb 2023 (Wed),9139,7790,0708
04 Feb 2023 (Sat),6738,7797,7263
05 Feb 2023 (Sun),7070,2955,1331
08 Feb 2023 (Wed),9929,4871,9921
11 Feb 2023 (Sat),2096,1756,2348
12 Feb 2023 (Sun),0580,5827,0806
15 Feb 2023 (Wed),4761,6275,9678
18 Feb 2023 (Sat),2575,4533,4727
19 Feb 2023 (Sun),0868,2909,2284
22 Feb 2023 (Wed),6650,1880,9934
25 Feb 2023 (Sat),2257,5656,8559
26 Feb 2023 (Sun),2268,0814,3514
01 Mar 2023 (Wed),4585,3512,4704
04 Mar 2023 (Sat),9614,7362,9632
05 Mar 2023 (Sun),8013,8140,2276
08 Mar 2023 (Wed),7493,8400,1971
11 Mar 2023 (Sat),7982,4760,0212
12 Mar 2023 (Sun),0691,2922,1822
15 Mar 2023 (Wed),1905,8878,5744
18 Mar 2023 (Sat),5774,9910,0464
19 Mar 2023 (Sun),4433,4821,5746
22 Mar 2023 (Wed),0027,5170,6937
25 Mar 2023 (Sat),3015,2415,6967
26 Mar 2023 (Sun),5794,2837,6982
29 Mar 2023 (Wed),2443,1657,4937
01 Apr 2023 (Sat),7517,5420,4448
02 Apr 2023 (Sun),5598,1644,0900
05 Apr 2023 (Wed),1783,8236,0927
